layer,source_emotion,eval_vector_emotion,score
8,happy,angry,-0.43984323740005493
8,happy,happy,0.18672099709510803
8,happy,sad,-0.07284638285636902
8,happy,angry,-0.33224910497665405
8,happy,happy,-0.040755704045295715
8,happy,sad,0.17617060244083405
8,happy,angry,-0.342629998922348
8,happy,happy,0.18654200434684753
8,happy,sad,-0.2614634037017822
8,happy,angry,-0.3991609215736389
8,happy,happy,0.02760690078139305
8,happy,sad,0.02081000804901123
8,happy,angry,-0.3449384868144989
8,happy,happy,0.20284762978553772
8,happy,sad,-0.2557559609413147
8,happy,angry,-0.4648752212524414
8,happy,happy,0.11878195405006409
8,happy,sad,-0.13411718606948853
8,happy,angry,-0.42064231634140015
8,happy,happy,-0.07268146425485611
8,happy,sad,0.09678994119167328
8,happy,angry,-0.36546188592910767
8,happy,happy,0.1340332329273224
8,happy,sad,-0.07349921762943268
8,happy,angry,-0.4414963722229004
8,happy,happy,0.1103435754776001
8,happy,sad,-0.1390560120344162
8,happy,angry,-0.3482789993286133
8,happy,happy,-0.05153311789035797
8,happy,sad,-0.16791042685508728
8,happy,angry,-0.1317218691110611
8,happy,happy,-0.07804285734891891
8,happy,sad,-0.029943328350782394
8,happy,angry,-0.17160466313362122
8,happy,happy,-0.06278275698423386
8,happy,sad,0.005958333611488342
8,happy,angry,-0.3397250175476074
8,happy,happy,0.010273400694131851
8,happy,sad,-0.15750032663345337
8,happy,angry,-0.2927101254463196
8,happy,happy,0.42910003662109375
8,happy,sad,-0.42402002215385437
8,happy,angry,-0.43758895993232727
8,happy,happy,-0.023136552423238754
8,happy,sad,0.056524645537137985
8,happy,angry,-0.3762059211730957
8,happy,happy,0.33747243881225586
8,happy,sad,-0.18229110538959503
8,happy,angry,-0.4712050259113312
8,happy,happy,0.0472128763794899
8,happy,sad,-0.09063126146793365
8,happy,angry,-0.34605711698532104
12,happy,happy,0.12546007335186005
12,happy,sad,-0.2001468986272812
12,happy,angry,-0.2159370332956314
12,happy,happy,0.17930713295936584
12,happy,sad,-0.10958034545183182
12,happy,angry,-0.4611407518386841
12,happy,happy,-0.050550952553749084
12,happy,sad,-0.11097431182861328
12,happy,angry,-0.3099392056465149
12,happy,happy,-0.06016792356967926
12,happy,sad,0.1665535718202591
12,happy,angry,-0.5020899176597595
12,happy,happy,-0.18502287566661835
12,happy,sad,0.1436576396226883
12,happy,angry,-0.3127315938472748
12,happy,happy,-0.47620099782943726
12,happy,sad,0.12199461460113525
12,happy,angry,-0.046871840953826904
12,happy,happy,-0.3767518997192383
12,happy,sad,0.06604491919279099
12,happy,angry,-0.03456242382526398
12,happy,happy,0.20334139466285706
12,happy,sad,-0.32547727227211
12,happy,angry,-0.46538853645324707
12,happy,happy,0.14682352542877197
12,happy,sad,-0.2697441875934601
12,happy,angry,-0.4311198592185974
12,happy,happy,-0.06983393430709839
12,happy,sad,0.14702649414539337
12,happy,angry,-0.5059305429458618
12,happy,happy,-0.07331764698028564
12,happy,sad,0.11615562438964844
12,happy,angry,-0.5210856795310974
12,happy,happy,0.08373206108808517
12,happy,sad,-0.1731504201889038
12,happy,angry,-0.5348412990570068
12,happy,happy,0.05104338377714157
12,happy,sad,-0.1416349560022354
12,happy,angry,-0.3332327902317047
12,happy,happy,-0.45848554372787476
12,happy,sad,0.13248449563980103
12,happy,angry,-0.26156842708587646
12,happy,happy,0.0024204328656196594
12,happy,sad,-0.2244175672531128
12,happy,angry,-0.3727644085884094
12,happy,happy,0.30891722440719604
12,happy,sad,-0.2690450847148895
12,happy,angry,-0.6963838338851929
12,happy,happy,-0.08427447080612183
12,happy,sad,0.1657879650592804
12,happy,angry,-0.33455049991607666
12,happy,happy,-0.27336621284484863
12,happy,sad,0.2644217014312744
12,happy,angry,-0.48847174644470215
12,happy,happy,0.27956873178482056
12,happy,sad,-0.5268471837043762
12,happy,angry,-0.24836641550064087
12,happy,happy,0.1803269386291504
12,happy,sad,-0.3884126842021942
12,happy,angry,-0.38135719299316406
12,happy,happy,0.2991185486316681
12,happy,sad,-0.3268849849700928
12,happy,angry,-0.5646837949752808
12,happy,happy,0.11860033869743347
12,happy,sad,-0.0628756731748581
12,happy,angry,-0.612220048904419
12,happy,happy,0.31534361839294434
12,happy,sad,-0.5049090385437012
12,happy,angry,-0.36965835094451904
12,happy,happy,0.01029285043478012
12,happy,sad,-0.21273082494735718
12,happy,angry,-0.25756320357322693
12,happy,happy,-0.05716999992728233
12,happy,sad,-0.2474135309457779
12,happy,angry,-0.1067812591791153
12,happy,happy,0.17775371670722961
